year,gear,discarded_pcs_yearsum,landed_pcs_yearsum,discarded_kg_yearsum,landed_kg_yearsum
1987,MIDWATER TRAWL,0,1,0,0
1989,MIDWATER TRAWL,0,1,0,40
1992,MIDWATER TRAWL,0,0,0,50
1994,MIDWATER TRAWL,0,0,0,294
1996,BOTTOM TRAWL,0,0,1755.43,109.77
1996,MIDWATER TRAWL,0,0,0,3
1996,UNKNOWN TRAWL,0,0,0,273.98
1997,BOTTOM TRAWL,0,0,549.3,0
1998,BOTTOM TRAWL,0,0,3161.59,0
1998,HOOK AND LINE,0,0,0,2.5
1998,UNKNOWN TRAWL,0,0,0,30.39
1999,BOTTOM TRAWL,0,0,3852.88,77.57
2000,BOTTOM TRAWL,0,0,8126.24,127.47
2001,BOTTOM TRAWL,0,0,5751.37,420.01
2001,UNKNOWN TRAWL,0,0,0,172.36
2002,BOTTOM TRAWL,0,0,12053.2,0
2003,BOTTOM TRAWL,0,0,9197.07,0
2004,BOTTOM TRAWL,0,0,6357.54,0
2005,BOTTOM TRAWL,0,0,4704.68,0
2006,BOTTOM TRAWL,0,0,8291.24,0
2006,HOOK AND LINE,235,0,0,0
2006,MIDWATER TRAWL,0,0,22.68,0
2006,TRAP,15,0,0,0
2007,BOTTOM TRAWL,9,0,4621.7,0
2007,HOOK AND LINE,229,0,444.53,0
2008,BOTTOM TRAWL,11,0,2685.29,0
2008,HOOK AND LINE,609,0,0,0
2009,BOTTOM TRAWL,18,0,7371.37,0
2009,HOOK AND LINE,290,0,181.44,0
2009,TRAP,2,0,0,0
2009,UNKNOWN TRAWL,0,0,136.08,0
2010,BOTTOM TRAWL,7,0,13084.8,32.89
2010,HOOK AND LINE,161,0,0,0
2010,TRAP,4,0,0,0
2011,BOTTOM TRAWL,5,0,6680.52,0
2011,HOOK AND LINE,187,0,0,0
2011,TRAP,3,0,0,0
2012,BOTTOM TRAWL,8,0,9088.63,0
2012,HOOK AND LINE,230,0,0,0
2012,MIDWATER TRAWL,1,0,24.49,0
2012,TRAP,5,0,36.29,0
2013,BOTTOM TRAWL,2,0,1126.27,0
2013,HOOK AND LINE,311,0,0,0
2013,MIDWATER TRAWL,0,0,0,13.34
2014,BOTTOM TRAWL,10,0,2399.5,11.11
2014,HOOK AND LINE,311,0,0,0
2014,MIDWATER TRAWL,34,0,181.44,0
2014,TRAP,1,0,0,0
2015,BOTTOM TRAWL,22,0,3863.26,0
2015,HOOK AND LINE,434,0,0,0
2015,MIDWATER TRAWL,4,0,142.89,0
2015,TRAP,4,0,0,0
2016,BOTTOM TRAWL,12,0,4586.27,0
2016,HOOK AND LINE,277,0,0,0
2016,MIDWATER TRAWL,2,0,49.9,0
2016,TRAP,5,0,0,0
2017,BOTTOM TRAWL,25,0,5679.02,0
2017,HOOK AND LINE,288,0,0,0
2017,MIDWATER TRAWL,2,0,45.36,0
2017,TRAP,4,0,0,0
2018,BOTTOM TRAWL,18,0,13438.12,0
2018,HOOK AND LINE,253,0,0,0
2018,MIDWATER TRAWL,6,0,258.56,5.33
2019,BOTTOM TRAWL,8,0,5229.45,0
2019,HOOK AND LINE,179,0,0,0
2019,MIDWATER TRAWL,3,0,1301.35,0
2019,UNKNOWN TRAWL,0,0,0,5.66
2020,BOTTOM TRAWL,8,0,6214.19,0
2020,HOOK AND LINE,157,0,0,0
2020,MIDWATER TRAWL,0,0,9.07,0
2020,TRAP,1,0,0,0
2021,BOTTOM TRAWL,0,0,22.68,0
2021,HOOK AND LINE,138,0,0,0
2021,MIDWATER TRAWL,0,0,15.87,0
2021,TRAP,5,0,0,0
2022,BOTTOM TRAWL,0,0,9.07,0
2022,HOOK AND LINE,148,0,0,0
2022,MIDWATER TRAWL,1,0,29.48,0
2022,TRAP,3,0,0,0
